Name,Value

Name,NAME
Parameters,PARAMETERS
ParameterAliases,PARAMETER ALIASES

HelpLogDir,Set the directory where the log files will be stored.
HelpActionLogDir,Set the directory where the action log files will be stored.
HelpLogFileName,Set the name of the log file.
HelpActionLogFileName,Set the name of the action log file.
HelpLogVerbosity,Set the verbosity of the log file.
HelpConsoleVerbosity,Set the verbosity of the console output.
HelpHelp,Display this help message.
HelpErrorHandling,Set the error handling mode.
HelpOverwriteExisting,Overwrite existing AD entities.
HelpReset,Deletes all user-made OUs recursively.
HelpFillDefaults,Fill missing values with default values for fields that are not required.
HelpRecursiveDelete,Recursively delete OUs.

HelpEntity,The type of entity to process [OU Group User GroupUser]
HelpFile,The file to read the data from.
HelpExport,Is this an export operation.

MissingParameter,Missing parameter:
MissingField,Missing field in CSV:
MissingFieldDefault,Missing field in CSV, using default value:

Resetting,Resetting OUs...
Resetted,Resetted OUs.

InvalidAction,Invalid operation for entity:
FileNotFound,File not found:

MovingObject,Moving object:
MovedObject,Moved object:

StartCreateOUs,Creating OUs...
StartRemoveOUs,Removing OUs...
CreatingOU,Creating OU:
RemovingOU,Removing OU:
ExistingOU,OU already exists:
CreatedOU,Created OU:
RemovedOU,Removed OU:
CreatingOUFailed,Failed to create OU:
RemovingOUFailed, Failed to remove OU:
EndCreateOUs,OUs created.
EndRemoveOUs,OUs removed.
ModifyingOU,Modifying OU:
ModifyingOUComplete,OU modification completed:

ExportingOUs,Exporting OUs:
ExportingOU,Exporting OU:
ExportedOUs,Exported OUs:
ExportedOU,Exported OU:

AddingUser,Adding user:
RemovingUser,Removing user:
ExistingUser,User already exists:
AddedUser,Added user:
RemovedUser,Removed user:
AddingUserFailed,Failed to add user:
RemovingUserFailed,Failed to remove user:
UserActionFailed,Failed user action:
InvalidUserAction,Invalid user action:
ModifyingUser,Modifying user:
ModifyingUserComplete,User modification completed:
NonExistingUser,User does not exist:

ExportingUsers,Exporting users:
ExportingUser,Exporting user:
ExportedUsers,Exported users:
ExportedUser,Exported user:

AddingGroup,Adding group:
RemovingGroup,Removing group:
ExistingGroup,Group already exists:
AddedGroup,Added group:
RemovedGroup,Removed group:
AddingGroupFailed,Failed to add group:
RemovingGroupFailed,Failed to remove group:
GroupActionFailed,Failed group action:
InvalidGroupAction,Invalid group action:

ExportingGroups,Exporting groups:
ExportingGroup,Exporting group:
ExportedGroups,Exported groups:
ExportedGroup,Exported group:

AddingUserToGroup,Adding user to group:
RemovingUserFromGroup,Removing user from group:
AddedUserToGroup,Added user to group:
RemovedUserFromGroup,Removed user from group:
UserGroupActionFailed,Failed user group action:
InvalidUserGroupAction,Invalid user group action:

ReportTitle,# Report
ReportSubject,Subject:
ActionSummary,## Action Summary
ActionAddedCount,Added:
ActionRemovedCount,Removed:
ActionModifiedCount,Modified:
ActionTotalCount,Total:
CompletionSummary,## Completion Summary
CompletionSuccessCount,Success:
CompletionErrorCount,Failed:

GUIReport,The address of the API to report to
GUIBrowse,Browse
GUIExport,Export (overwrites the file browsed to below)
GUIImport,Select the import file
GUIExecute,Execute

GUIEntity,Entity
GUIConsoleVerbosity,Console Verbosity
GUILogVerbosity,Log Verbosity
GUIErrorHandling,Error Handling

GUIOverwrite,Overwrite existing entities
GUIFillDefaults,Fill in default values
GUIRecursiveDelete,Recursively delete OUs
